Name,Unit,Equation,Format,Address,Length,Signed,ProgMin,ProgMax,WarnMin,WarnMax,Smoothing,Enabled,Tabs,Assign To
AFR,AFR,x / 2229.1156462585,%01.1f,0xb0009908,2,FALSE,11.025,18.375,-1,5000,0,TRUE,Layout1,
AFR SP,AFR,x / 69.6598639455782,%01.1f,0xb000c12c,2,FALSE,11.025,18.375,-1,5000,0,TRUE,,
Airmass,mg/stk,x * 1000000,%01.0f,0xb0008230,4,FALSE,0,2000,-100,50000,0,TRUE,,
Airmass SP,mg/stk,x * 1000000,%01.0f,0xb0008278,4,FALSE,0,2000,-100,50000,0,TRUE,,
Ambient Press,kPa,x / 120.6017666543982,%01.1f,0xb000b246,2,FALSE,0,105,0,120,0,TRUE,,a
Ambient Temp,°F,x * 1.35 - 54.4,%01.0f,0xd0012614,1,FALSE,0,120,-100,200,0,TRUE,,
Battery Volts,V,x / 51.2,%01.1f,0xb000cf82,2,TRUE,10,15,7,16,0,TRUE,,
Boost,psi,(m - a) * 0.145077720207254,%01.1f,0xffffffff,1,FALSE,-14.7,35,-100,100,0,TRUE,Layout1,
Comb Mode,,x,%01.0f,0xd0012836,1,FALSE,0,26,-100,100,0,TRUE,,
Coolant Temp,°F,x * 1.35 - 54.4,%01.0f,0xd0012c00,1,FALSE,0,250,-100,300,0,TRUE,Layout1,
Current Gear,,x,%01.0f,0xd00162f7,1,FALSE,0,6,-1,7,0,TRUE,,
Engine Speed,rpm,x,%01.0f,0xb0009c7c,2,FALSE,0,7000,-1,10000,0,TRUE,,
EOI Actual,°,x / 2.66666666666667,%01.0f,0xb000b69c,2,FALSE,0,720,-1000,1000,0,TRUE,,
EOI Limit,°,x / 2.66666666666667,%01.0f,0xb000b694,2,FALSE,0,720,-1000,1000,0,TRUE,,
Eth Content,%,x / 2.55,%01.1f,0xd0012671,1,FALSE,0,100,-100,100,0,TRUE,Layout1,
Exhaust Cam,°,x / 128,%01.1f,0xb000d48c,2,TRUE,-45,45,-100,100,0,TRUE,,
Ext Flow Fac,,x / 16384,%01.2f,0xb000957c,2,FALSE,0,2,-1,10,0,TRUE,,
Ext Press Des,kPa,x / 120.6017666543982,%01.0f,0xb0009642,2,FALSE,0,500,-1000,10000,0,TRUE,,
FP DI,psi,x / 12.9925036977825,%01.0f,0xb000b228,2,FALSE,0,3500,-1,5000,0,TRUE,,
FP DI SP,psi,x / 12.9925036977825,%01.0f,0xb000b1bc,2,FALSE,0,3500,-1,5000,0,TRUE,,
FP MPI,psi,x / 25.985007395565,%01.1f,0xb000b186,2,FALSE,0,150,-1,200,0,TRUE,,
FP MPI SP,psi,x / 25.985007395565,%01.1f,0xb000b17e,2,FALSE,0,150,-1,200,0,TRUE,,
Fuel Flow,mg/stk,x / 47.18142548596112,%01.1f,0xb000b1b2,2,FALSE,0,200,-100,1000,0,TRUE,,
Fuel Flow SP,mg/stk,x / 47.18142548596112,%01.1f,0xb000b152,2,FALSE,0,200,-100,1000,0,TRUE,,
Fuel Split MPI,,x / 128,%01.2f,0xd0017563,1,FALSE,0,1,-100,100,0,TRUE,,
HPFP Eff Vol,%,x / 655.3599999999997,%01.1f,0xb000b1b8,2,FALSE,0,100,-1000,1000,0,TRUE,,
IAT,°F,x * 1.35 - 54.4,%01.0f,0xd0012616,1,FALSE,0,200,-100,500,0,TRUE,Layout1,
Ign Table Value,°,(x - 95) / 2.666666666666667,%01.1f,0xd001521a,1,FALSE,-10,40,-100,100,0,TRUE,,
Ign Timing Avg,°,(x - 95) / 2.666666666666667,%01.1f,0xd0015238,1,FALSE,-10,40,-100,100,0,TRUE,,
Inj PW DI,ms,x / 250,%01.1f,0xb000b8fa,2,FALSE,0,20,-1000,1000,0,TRUE,,
Inj PW MPI,ms,x / 250,%01.1f,0xb000b4ce,2,FALSE,0,20,-1000,1000,0,TRUE,,
Int Flow Fac,,x / 16384,%01.2f,0xb0009582,2,FALSE,0,2,-1000,1000,0,TRUE,,
Intake Cam,°,x / 128,%01.1f,0xb000d48a,2,TRUE,-45,45,-100,100,0,TRUE,,
Knock Avg,°,(x - 128) / 2.66666666666667,%01.2f,0xd0017b89,1,FALSE,0,-5,-3,1,0,TRUE,Layout1,
Knock Cyl 1,°,(x - 128) / 2.66666666666667,%01.2f,0xd0015e73,1,FALSE,0,-5,-5,1,0,TRUE,,
Knock Cyl 2,°,(x - 128) / 2.66666666666667,%01.2f,0xd0015e74,1,FALSE,0,-5,-5,1,0,TRUE,,
Knock Cyl 3,°,(x - 128) / 2.66666666666667,%01.2f,0xd0015e75,1,FALSE,0,-5,-5,1,0,TRUE,,
Knock Cyl 4,°,(x - 128) / 2.66666666666667,%01.2f,0xd0015e76,1,FALSE,0,-5,-5,1,0,TRUE,,
LPFP DC,%,x / 655.3599999999997,%01.1f,0xb000b172,2,FALSE,0,100,-1000,100,0,TRUE,,
LTFT,%,x / 1.28 - 100,%01.1f,0xd0015ecd,1,FALSE,-25,25,-25,25,0,TRUE,Layout1,
MAP,kPa,x / 1000,%01.1f,0xb0008360,4,FALSE,0,320,-1,350,0,TRUE,,m
MAP SP,kPa,x / 1000,%01.1f,0xb0008384,4,FALSE,0,320,-1,350,0,TRUE,,
OF Ign Cor,°,x / 2.66666666666667,%01.1f,0xd000e578,1,TRUE,0,20,-1000,1000,0,TRUE,,
OF Ign Fac,,x / 128,%01.2f,0xd001de8e,1,FALSE,0,1,-1000,1000,0,TRUE,,
OF Ign Max,°,x / 2.66666666666667,%01.1f,0xd001de8d,1,TRUE,0,20,-1000,1000,0,TRUE,,
OF Tq Mult,,x / 32768,%01.2f,0xd0017f52,2,FALSE,0,2,-1000,1000,0,TRUE,,
Oil Temp,°F,x * 1.8 - 40,%01.0f,0xd0012aaa,1,FALSE,0,280,-1000,1000,0,TRUE,Layout1,
Pedal Pos,%,x / 10.24,%01.1f,0xb000984c,2,FALSE,0,100,-1000,1000,0,TRUE,,
Port Flap Pos,,x,%01.0f,0xd00004d1,1,FALSE,0,1,-1000,1000,0,TRUE,,
Press Ratio,,p / a,%01.2f,0xffffffff,1,FALSE,0,4,-1,10,0,TRUE,,
PUT,kPa,x / 1000,%01.1f,0xb0008394,4,FALSE,0,320,-1,350,0,TRUE,,p
PUT SP,kPa,x / 120.60176665,%01.1f,0xb000967a,2,FALSE,0,320,-1,350,0,TRUE,,
SOI Actual,°,x / 2.66666666666667,%01.0f,0xb000b810,2,FALSE,0,720,-1000,1000,0,TRUE,,
SOI Limit,°,x / 2.66666666666667,%01.0f,0xb000b80c,2,FALSE,0,720,-1000,1000,0,TRUE,,
Steering Angle,°,x / 22.85714285714286,%01.0f,0xb000d020,2,TRUE,-720,720,-2000,2000,0,TRUE,,
STFT,%,x / 1.28 - 100.0,%01.1f,0xd0015ece,1,FALSE,-25,25,-25,25,0,TRUE,,
Torque,lbft,x / 43.38624,%01.1f,0xb000d156,2,TRUE,0,450,-1000,1000,0,TRUE,,
Torque Req,lbft,x / 43.38624,%01.1f,0xb000986c,2,TRUE,0,450,-1000,1000,0,TRUE,,
Torque Lim,,x,%01.0f,0xb0009696,2,FALSE,0,28640,-1000,65535,0,TRUE,,
TPS,%,x / 2.142128661087866,%01.1f,0xd00162cf,1,FALSE,0,100,-1000,1000,0,TRUE,,
Trans Temp,°F,x * 1.8 - 40,%01.0f,0xd0016328,1,FALSE,0,250,-1000,150,0,TRUE,,
